"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","species_name","algorithm","run","partition","presencenb","absencenb","correlation","pvaluecor","AUC","AUC_pval","AUCratio","pROC","pROC_pval","TSSmax","KAPPAmax","dismo_threshold","prevalence.value","PPP","NPP","TPR","TNR","FPR","FNR","CCR","Kappa","F_score","Jaccard"
"24",0.51772993,0.10882943,-0.00664344,0.16405968,0.13694496,0.00031489,"Abarema_langsdorffii","svmk",1,3,19,100,0.68961786044651,4.22628559244158e-18,0.898947368421053,NA,1.79789473684211,1.27818532545694,0,0.724736842105263,0.668728734921126,"spec_sens",0.159663865546218,0.5,0.976470588235294,0.894736842105263,0.83,0.17,0.105263157894737,0.840336134453782,0.549152542372881,0.641509433962264,0.472222222222222
"25",0.12648228,0.07584937,-1e-04,0.17711519,0.10116582,0.02521646,"Abarema_langsdorffii","bioclim",1,4,20,100,0.541257958404935,1.73989458753672e-10,0.848,NA,1.696,1.82255484299127,0,0.61,0.466101694915254,"spec_sens",0.166666666666667,0.414634146341463,0.962025316455696,0.85,0.76,0.24,0.15,0.775,0.429577464788732,0.557377049180328,0.386363636363636
"26",1.64250158,1.07427892,-1.47471602,0.23680934,0.5224493,-1.14702849,"Abarema_langsdorffii","brt",1,4,20,100,0.578008615345093,4.75957495430797e-12,0.91,NA,1.82,1.49777143767325,0,0.75,0.735294117647059,"spec_sens",0.166666666666667,0.62962962962963,0.967741935483871,0.85,0.9,0.1,0.15,0.891666666666667,0.657894736842105,0.723404255319149,0.566666666666667
"27",0.17910776,0.17910776,0.03555734,0.16361082,0.1817117,0.04796538,"Abarema_langsdorffii","glm",1,4,20,100,0.434030757502878,7.32612391307382e-07,0.826,NA,1.652,1.43364448715058,0,0.63,0.456521739130435,"spec_sens",0.166666666666667,0.435897435897436,0.962962962962963,0.85,0.78,0.22,0.15,0.791666666666667,0.456521739130435,0.576271186440678,0.404761904761905
"28",0.63688548,0.63092633,0.12814363,0.16448197,0.36252858,0.17983867,"Abarema_langsdorffii","maxent",1,4,20,100,0.689235613078842,3.23567805011331e-18,0.9355,NA,1.871,1.744165512307,0,0.79,0.76,"spec_sens",0.166666666666667,0.739130434782609,0.969072164948454,0.85,0.94,0.06,0.15,0.925,0.745283018867925,0.790697674418605,0.653846153846154
"29",0.49823467,0.49823467,0.11931485,0.16620219,0.31134805,0.1588385,"Abarema_langsdorffii","maxnet",1,4,20,100,0.678598441146612,1.6482228420328e-17,0.936,NA,1.872,1.74225733352252,0,0.8,0.769230769230769,"spec_sens",0.166666666666667,0.772727272727273,0.969387755102041,0.85,0.95,0.05,0.15,0.933333333333333,0.769230769230769,0.80952380952381,0.68
"30",0.72466667,0.6849,0.2104,0.16196667,0.58663333,0.29036667,"Abarema_langsdorffii","rf",1,4,20,100,0.658996370817023,2.78780597095123e-16,0.9275,NA,1.855,1.54241343200299,0,0.76,0.776595744680851,"spec_sens",0.166666666666667,0.8,0.96,0.8,0.96,0.04,0.2,0.933333333333333,0.76,0.8,0.666666666666667
"31",0.48633209,0.41648443,0.00635297,0.16178697,0.07078418,0.04796856,"Abarema_langsdorffii","svme",1,4,20,100,0.777431077386523,1.62277893476835e-25,0.946,NA,1.892,1.50443480952726,0,0.81,0.8125,"spec_sens",0.166666666666667,0.80952380952381,0.96969696969697,0.85,0.96,0.04,0.15,0.941666666666667,0.794117647058823,0.829268292682927,0.708333333333333
"32",0.35029885,0.35029885,-0.03104503,0.16060741,0.13213881,-0.0156403,"Abarema_langsdorffii","svmk",1,4,20,100,0.749177688766312,7.54248606721487e-23,0.8885,NA,1.777,1.22192001991588,0,0.79,0.745283018867925,"spec_sens",0.166666666666667,0.739130434782609,0.969072164948454,0.85,0.94,0.06,0.15,0.925,0.745283018867925,0.790697674418605,0.653846153846154
"33",0.15179873,0.02521646,-1e-04,0.17711519,0.02521646,0.02521646,"Abarema_langsdorffii","bioclim",1,5,20,100,0.356554896450109,6.41025602311024e-05,0.7705,NA,1.541,1.8051740850012,0,0.45,0.457446808510638,"spec_sens",0.166666666666667,0.333333333333333,0.933333333333333,0.75,0.7,0.3,0.25,0.708333333333333,0.3,0.461538461538462,0.3
"34",1.44799709,-1.09636624,-3.8714377,0.15411533,-1.36878792,-3.50499599,"Abarema_langsdorffii","brt",1,5,20,100,0.461912014166528,1.09334220834906e-07,0.8195,NA,1.639,1.34338857438467,0,0.56,0.5,"spec_sens",0.166666666666667,0.441176470588235,0.941860465116279,0.75,0.81,0.19,0.25,0.8,0.4375,0.555555555555556,0.384615384615385
"35",0.18893693,0.18893693,0.01502606,0.15743298,0.12066089,0.01862494,"Abarema_langsdorffii","glm",1,5,20,100,0.287398382193452,0.00145875582516376,0.721,NA,1.442,1.43593168466827,0,0.39,0.30952380952381,"spec_sens",0.166666666666667,0.363636363636364,0.908045977011494,0.6,0.79,0.21,0.4,0.758333333333333,0.30952380952381,0.452830188679245,0.292682926829268
"36",0.34503816,0.2295555,0.02712553,0.17114248,0.1749485,0.04023433,"Abarema_langsdorffii","maxent",1,5,20,100,0.504323067832057,4.28727251890187e-09,0.8345,NA,1.669,1.53879280440791,0,0.55,0.5,"spec_sens",0.166666666666667,0.428571428571429,0.941176470588235,0.75,0.8,0.2,0.25,0.791666666666667,0.423076923076923,0.545454545454545,0.375
"37",0.28973003,0.15779864,0.02624175,0.16633789,0.16282244,0.04074732,"Abarema_langsdorffii","maxnet",1,5,20,100,0.505350867963203,3.94151848012144e-09,0.835,NA,1.67,1.53633652971892,0,0.55,0.481818181818182,"spec_sens",0.166666666666667,0.390243902439024,0.949367088607595,0.8,0.75,0.25,0.2,0.758333333333333,0.387323943661972,0.524590163934426,0.355555555555556
"38",0.50483333,0.34413333,0.0107,0.17063333,0.26026667,0.01816667,"Abarema_langsdorffii","rf",1,5,20,100,0.447754423403229,2.93379981675452e-07,0.78,NA,1.56,1.16708006011204,0,0.59,0.5,"spec_sens",0.166666666666667,0.483870967741935,0.943820224719101,0.75,0.84,0.16,0.25,0.825,0.483606557377049,0.588235294117647,0.416666666666667
"39",0.10464954,0.10464954,-0.03159349,0.14927536,0.03710537,-0.02237398,"Abarema_langsdorffii","svme",1,5,20,100,0.556879008975535,3.97610647704864e-11,0.829,NA,1.658,1.15799649549353,0,0.6,0.5,"spec_sens",0.166666666666667,0.5,0.944444444444444,0.75,0.85,0.15,0.25,0.833333333333333,0.5,0.6,0.428571428571429
"40",0.46936256,0.05747371,-0.04850342,0.1541088,0.04692025,-0.03681041,"Abarema_langsdorffii","svmk",1,5,20,100,0.479159542403589,3.08785950715293e-08,0.7185,NA,1.437,1.04443140547762,0,0.51,0.476744186046511,"spec_sens",0.166666666666667,0.384615384615385,0.938271604938272,0.75,0.76,0.24,0.25,0.758333333333333,0.369565217391304,0.508474576271187,0.340909090909091
